자치구,소계,최근증가율,세대,인구,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,5221.0,327.83882783882785,233484,546158,541233,4925,73097,0.9017537049718213,13.38385595377162,0.9559504758696201,2577.945378907504
송파구,1586.0,368.67469879518075,280135,678067,671512,6555,90700,0.966718628100173,13.37625927821292,0.2339001898042524,1437.6238014977553
관악구,3985.0,325.77996715927753,273715,516318,499740,16578,77341,3.2108119414779264,14.979334441177725,0.7718111706351511,1428.0364291261621
도봉구,858.0,581.3559322033898,138966,331744,329560,2184,60784,0.6583389601620527,18.32256197549918,0.2586331629208064,1166.4511880635646
강서구,1617.0,378.6096256684492,265252,593203,586936,6267,87032,1.0564680219081832,14.67153739950742,0.27258796735687446,1161.7836243611537
중랑구,1068.0,192.15686274509804,183310,399415,394414,5001,67637,1.2520811687092372,16.934015998397655,0.2673910594244082,1151.6880332159371
구로구,3227.0,504.4776119402985,178367,436707,405075,31632,68280,7.243300427975736,15.635197054317885,0.7389393804083745,899.7212347212549
성동구,2679.0,553.4883720930233,135937,304851,297397,7454,45005,2.4451289318388327,14.762949768903496,0.8787899662458054,732.1375054193563
강북구,1265.0,395.8620689655172,145559,315395,311773,3622,62338,1.1484012111796318,19.765056516431777,0.4010843545395456,712.2828710386036
노원구,1906.0,122.34273318872017,217897,533041,528887,4154,83636,0.7793021549937059,15.690350273243522,0.35757099360086747,699.2109111153463
성북구,3003.0,471.68458781362006,195064,452290,441812,10478,72822,2.316655243317341,16.100731831347144,0.6639545424395852,630.7628957280463
광진구,1581.0,1304.6875,166307,363925,349574,14351,49457,3.9433949302740947,13.589888026379063,0.4344301710517277,536.2962311964948
강동구,1879.0,591.6666666666667,193095,461547,457164,4383,67742,0.9496324318000117,14.677161805839924,0.40710913514766645,519.9443714259119
서초구,2835.0,462.79069767441865,173998,433062,428919,4143,59063,0.956675949402164,13.638462852894042,0.6546406750072737,518.2373834493719
은평구,2962.0,495.55555555555554,210664,483938,479524,4414,83272,0.9121003103703366,17.207162901032778,0.6120618756948204,498.4556049331377
동작구,1780.0,605.3846153846154,183537,406776,395165,11611,64039,2.8543965229020394,15.74306252089602,0.43758727161877786,460.9251719779859
양천구,2775.0,765.1162790697674,179677,462034,457953,4081,63824,0.8832683309020548,13.813702021929123,0.6006051502703265,374.65059032152476
용산구,2063.0,217.6470588235294,111586,245362,229431,15931,39650,6.49285545438984,16.159796545512346,0.8407984936542742,287.7685538931412
영등포구,2495.0,396.9945355191257,179787,405154,373349,31805,60071,7.850101442908129,14.826707869106562,0.6158152208789744,258.75444207880537
마포구,1935.0,523.1638418079096,177544,384957,374390,10567,53694,2.7449819070701404,13.948051340799102,0.5026535431229981,242.97541913881378
금천구,1634.0,226.43979057591622,112570,250554,232250,18304,38950,7.305411208761385,15.54555105885358,0.6521548249080039,156.21082723069503
서대문구,2121.0,812.8440366972477,143323,324224,312720,11504,53468,3.5481642321358073,16.491067903671535,0.6541773588630083,118.24467981995758
동대문구,2003.0,509.90990990990997,166451,360380,345593,14787,60817,4.103168877296187,16.875797769021588,0.5558022087796215,104.06859134980732
중구,1544.0,373.46938775510205,63354,136030,126092,9938,24035,7.305741380577814,17.668896566933764,1.135043740351393,84.20108413799016
종로구,1471.0,271.7948717948718,74497,160520,150383,10137,28203,6.315100922003489,17.569773236979817,0.9163967106902567,59.454740924172256
